Borough,Facility Name,Street Address,City,State,Post Code,Phone Number(s),Comments,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
Bronx,HRA Benefits Access Center Crotona,1910 Monterey Avenue,Bronx,NY,10457,Phone: 929-252-7310 | 929-252-7311 Fax: 917-639-2474 | HDU Fax: 718-901-0264,Monday – Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.,40.846932,-73.895099,206,15,37504,2011826,2030600032,BX0602
Bronx,HRA Benefits Access Center Fordham,2541-2549 Bainbridge Avenue,Bronx,NY,10458,Phone: 929 252-3331 | 929-252-3332 Fax: 718-220-5775 | HDU Fax: 917-639-2510,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.862345,-73.89335,207,15,39901,2016777,2032930008,BX0701
Bronx,HRA Benefits Access Center Concourse,845 Barretto Street,Bronx,NY,10474,Phone: 929-252-8991 Fax: 917-639-2545,Monday – Friday 8:30am to 5:00pm,40.817656,-73.890358,202,17,9301,2005939,2027390015,BX0201
Bronx,HRA Benefits Access Center Hunts Point,847 Barretto Street,Bronx,NY,10474,Phone: 929-252-4352 | 929-252-4349 Fax: 917-639-2481 | 718-617-7393,Monday – Friday 8:30am to 5:00pm,40.817689,-73.890379,202,17,9301,2005939,2027390015,BX0201
Bronx,HRA Benefits Access Center Rider,300 Canal Place,Bronx,NY,10451,Phone: 718-742-3924 Fax: 917-639-2507 | HDU Fax: 718-742-3926,Monday – Friday 8:30am to 5:00pm,40.813153,-73.927579,201,8,51,2000978,2023400072,BX0101
Brooklyn,HRA Benefits Access Center Bushwick,2 George Street,Brooklyn,NY,11206,Phone: 212-331-4289 | 212-331-4280 Fax: 917-639-2487 | HDU Fax: 718-963-4284,Monday – Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.,40.700282,-73.932552,304,34,425,3071940,3031560001,BK0401
Brooklyn,HRA Benefits Access Center Clinton Hill,"495 Clermont Ave, 1st Fl.",Brooklyn,NY,11238,Phone: 929-221-2809 | 929-221-1568 Fax: 917-639-2511 | HDU Fax: 718-639-7705,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.682851,-73.968809,302,35,199,3335094,3020090001,BK0204
Brooklyn,HRA Benefits Access Center Coney Island,"1912 Mermaid Ave, 1st Fl.",Brooklyn,NY,11224,Phone: 718-333-3100 Fax: 917-639-2515 | HDU Fax: 917-639-2516,Monday – Friday 8:30am to 5:00pm; This center includes a children's area that does not provide supervision.,40.576475,-73.98608,313,47,326,3426189,3070607501,BK1302
Brooklyn,HRA Benefits Access Center Boerum Hill,"275 Bergen Street, 1st Fl.",Brooklyn,NY,11217,Phone: 718-636-2495 | 929-221-0565 Fax: 917-639-2490 | HDU Fax: 718-636-2358,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.683749,-73.982816,302,33,39,3335918,3001970028,BK0202
Manhattan,HRA Benefits Access Center Dyckman,"4055 10th Avenue, 1st Fl.",New York,NY,10034,Phone: 212-331-5110 | 212-331-5109 Fax: 917-639-2497 | HDU Fax: 917-639-2503,"Monday – Friday 8:30am to 5:00pm; This center includes a Children's Corner, which provides supervision during limited hours.",40.870388,-73.914561,112,10,299,1064513,1022130001,MN1203
